prey,time,order
Gammarus spp.,5,3
Gammarus spp.,5,3
Gammarus spp.,5,3
Gammarus spp.,5,3
Gammarus spp.,5,3
Gammarus spp.,5,3
Gammarus spp.,5,3
Gammarus spp.,5,3
Aedes aegypti,5,9
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Aedes aegypti (larvae),5,4
Gnorimosphaeroma oregonensis,5,5
Gnorimosphaeroma oregonensis,5,5
Gnorimosphaeroma oregonensis,5,5
Gnorimosphaeroma oregonensis,5,5
Paranemertes peregrina,5,8
Emplectonema gracile,10,7
Emplectonema gracile,30,7
Glass beads (control),5,6
Glass beads (control),5,6
Glass beads (control),10,6
Caprella spp.,5,2
Caprella spp.,5,2
Caprella spp.,20,2
Caprella spp.,30,2
Caprella spp.,5,2
Caprella spp.,5,2
Caprella spp.,5,2
Caprella spp.,5,2
Caprella spp.,5,2
Pentidotea wosnesenskii (juvenile),30,1
Pentidotea wosnesenskii (juvenile),30,1
Pentidotea wosnesenskii (juvenile),30,1
Pentidotea wosnesenskii (juvenile),5,1
Pentidotea wosnesenskii (juvenile),5,1
Pentidotea wosnesenskii (juvenile),10,1
Pentidotea wosnesenskii (juvenile),10,1
Pentidotea wosnesenskii (juvenile),30,1
Pentidotea wosnesenskii (juvenile),15,1
Membranipora membranacea,30,10
Membranipora membranacea,30,10
Membranipora membranacea,30,10
Membranipora membranacea,10,10
Membranipora membranacea,20,10
Membranipora membranacea,5,10
Aedes togoi (larvae),5,11
Aedes togoi (larvae),5,11
Aedes togoi (larvae),5,11
Aedes togoi (larvae),15,11
Aedes togoi (larvae),5,11
Aedes togoi (larvae),5,11
Aedes togoi (larvae),5,11
Aedes togoi (larvae),10,11
Aedes togoi (larvae),5,11
Aedes togoi,5,12
Aedes togoi,20,12
Aedes togoi,5,12