Site,Latitude,Longitude,Census,Date,Tidepool,Group,Volume,Light_initial,Height,Salinity,Treatment,Sample_time,Algae_cover,H_inital,Diversity,H_change,E_inital,Evenness,E_change,S_intial,Richness,S_change
Shore Pine,49.3334,-123.2680,0,2020-09-02,1,1,2.7296976,14919,3.2,23,Control,Day,0,0.9231818935,0.9231818935,0,0.5736051614,0.5736051614,0,5,5,0
Shore Pine,49.3334,-123.2681,0,2020-09-02,2,5,0.15624,18349,3.2,23,Removed,Day,0.043,0.9079829704,0.9079829704,0,0.5641615395,0.5641615395,0,5,5,0
Shore Pine,49.3334,-123.2680,0,2020-09-03,3,1,1.6832928,17865,3.3,23,Elevated,Day,0.0301,0.9407822057,0.9407822057,0,0.5250605463,0.5250605463,0,6,6,0
Shore Pine,49.3334,-123.2680,0,2020-09-03,4,3,0.5103072,13986,3.6,23,Removed,Day,0.0086,1.068025869,1.068025869,0,0.7704178125,0.7704178125,0,4,4,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,5,8,0.04733344,20730,3.6,24,Elevated,Day,0,0.9235929018,0.9235929018,0,0.8406904886,0.8406904886,0,3,3,0
Shore Pine,49.3335,-123.2682,0,2020-09-03,6,1,2.97024,27153,3.6,22,Removed,Day,0.0068,0.8059485626,0.8059485626,0,0.5813689973,0.5813689973,0,4,4,0
Shore Pine,49.3334,-123.2684,0,2020-09-02,7,7,0.05155232,16909,3.5,23,Removed,Day,0.0027,1.022719071,1.022719071,0,0.930919016,0.930919016,0,3,3,0
Shore Pine,49.3334,-123.2680,0,2020-09-02,8,6,0.114156,17821,3.5,22,Control,Day,0,1.090667369,1.090667369,0,0.9927682225,0.9927682225,0,3,3,0
Shore Pine,49.3333,-123.2684,0,2020-09-02,9,5,0.2342912,2860,3.4,24,Control,Day,0.0012,0.5152863416,0.5152863416,0,0.3201654053,0.3201654053,0,5,5,0
Shore Pine,49.3335,-123.2681,0,2020-09-03,10,4,0.379544,18308,3.6,22,Control,Day,0.0974,1.000609516,1.000609516,0,0.6217136482,0.6217136482,0,5,5,0
Shore Pine,49.3334,-123.2682,0,2020-09-03,11,2,1.176528,21443,3.6,22,Control,Day,0.069,1.149649196,1.149649196,0,0.7143172081,0.7143172081,0,5,5,0
Shore Pine,49.3334,-123.2680,0,2020-09-02,12,6,0.0989298,21498,3.6,23,Removed,Day,0.1242,1.056533599,1.056533599,0,0.6564612345,0.6564612345,0,5,5,0
Shore Pine,49.3335,-123.2682,0,2020-09-02,13,7,0.09892352,23947,3.6,23,Control,Day,0,1.041277618,1.041277618,0,0.7511230279,0.7511230279,0,4,4,0
Shore Pine,49.3335,-123.2681,0,2020-09-02,14,5,0.21402108,19434,3.5,23,Elevated,Day,0.0416,0.4799666384,0.4799666384,0,0.3462227445,0.3462227445,0,4,4,0
Shore Pine,49.3335,-123.2681,0,2020-09-02,15,3,0.7928856,23124,3.5,23,Control,Day,0.0327,0.8623680439,0.8623680439,0,0.5358193921,0.5358193921,0,5,5,0
Shore Pine,49.3335,-123.2680,0,2020-09-03,16,4,0.4657716,20088,3.5,22,Removed,Day,0,0.8989818513,0.8989818513,0,0.5585688297,0.5585688297,0,5,5,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,17,2,1.4409408,20103,3.5,22,Removed,Day,0.0258,0.9101680974,0.9101680974,0,0.4677338765,0.4677338765,0,7,7,0
Shore Pine,49.3335,-123.2681,0,2020-09-02,18,3,0.51652,23947,3.1,23,Elevated,Day,0.01,0.9430601219,0.9430601219,0,0.4846370334,0.4846370334,0,7,7,0
Shore Pine,49.3334,-123.2680,0,2020-09-03,19,8,0.02128896,20807,3.2,25,Control,Day,0.033,0.7464130781,0.7464130781,0,0.5384232231,0.5384232231,0,4,4,0
Shore Pine,49.3333,-123.2680,0,2020-09-03,20,4,0.3467772,18890,3.2,21,Elevated,Day,0.1438,0.1793157013,0.1793157013,0,0.1293489365,0.1293489365,0,4,4,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,21,8,0.04256,25038,3.3,26,Removed,Day,0.0876,0.5764494392,0.5764494392,0,0.4158203736,0.4158203736,0,4,4,0
Shore Pine,49.3334,-123.2681,0,2020-09-03,22,2,0.8190144,19400,3.1,22,Elevated,Day,0.0112,1.020510001,1.020510001,0,0.5695574763,0.5695574763,0,6,6,0
Shore Pine,49.3334,-123.2681,0,2020-09-02,23,6,0.1492224,23910,3.1,25,Elevated,Day,0.0862,0.2727899627,0.2727899627,0,0.1967763632,0.1967763632,0,4,4,0
Shore Pine,49.3336,-123.2681,0,2020-09-02,24,7,0.1001052,11622,3.3,22,Elevated,Day,0.0576,0.5876804507,0.5876804507,0,0.423921836,0.423921836,0,4,4,0
West Beach,49.3311,-123.2660,0,2020-09-02,25,2,0.15343944,6369,3.4,21,Elevated,Day,0.0153,0.4031305124,0.4031305124,0,0.2249914229,0.2249914229,0,6,6,0
West Beach,49.3311,-123.2661,0,2020-09-02,26,2,0.2660736,6408,3.7,23,Control,Day,0.0234,1.019078598,1.019078598,0,0.6331891343,0.6331891343,0,5,5,0
West Beach,49.3310,-123.2660,0,2020-09-02,27,1,1.013376,13979,3.7,21,Removed,Day,0.0065,1.165825013,1.165825013,0,0.6506593286,0.6506593286,0,6,6,0
West Beach,49.3307,-123.2661,0,2020-09-02,28,1,0.351072,5957,3.8,21,Control,Day,0.0433,0.5653868648,0.5653868648,0,0.407840413,0.407840413,0,4,4,0
West Beach,49.3310,-123.2662,0,2020-09-02,29,1,1.3318672,11760,3.6,21,Elevated,Day,0.0123,0.7215784929,0.7215784929,0,0.4027206248,0.4027206248,0,6,6,0
West Beach,49.3310,-123.2660,0,2020-09-02,30,2,0.33088,11226,4.0,21,Removed,Day,0,0.8001812896,0.8001812896,0,0.5772087891,0.5772087891,0,4,4,0
Shore Pine,49.3334,-123.2680,1,2020-09-16,1,1,2.7296976,14919,3.2,NA,Control,Day,,0.9231818935,1.204701016,0.2815191227,0.5736051614,0.6723564389,0.09875127756,5,6,1
Shore Pine,49.3334,-123.2681,1,2020-09-16,2,5,0.15624,18349,3.2,NA,Removed,Day,,0.9079829704,0.8874855665,-0.02049740383,0.5641615395,0.6401855129,0.07602397338,5,4,-1
Shore Pine,49.3334,-123.2680,1,2020-09-18,3,1,1.6832928,17865,3.3,NA,Elevated,Day,,0.9407822057,0.7435198162,-0.1972623895,0.5250605463,0.5363361758,0.01127562955,6,4,-2
Shore Pine,49.3334,-123.2680,1,2020-09-18,4,3,0.5103072,13986,3.6,NA,Removed,Day,,1.068025869,0.9292871507,-0.1387387184,0.7704178125,0.577398571,-0.1930192415,4,5,1
Shore Pine,49.3334,-123.2681,1,2020-09-16,5,8,0.04733344,20730,3.6,NA,Elevated,Day,,0.9235929018,0.8982643861,-0.02532851569,0.8406904886,0.6479607876,-0.192729701,3,4,1
Shore Pine,49.3335,-123.2682,1,2020-09-18,6,1,2.97024,27153,3.6,NA,Removed,Day,,0.8059485626,0.8773367395,0.07138817687,0.5813689973,0.4508618961,-0.1305071012,4,7,3
Shore Pine,49.3334,-123.2684,1,2020-09-16,7,7,0.05155232,16909,3.5,NA,Removed,Day,,1.022719071,1.131753457,0.1090343863,0.930919016,0.7031979602,-0.2277210559,3,5,2
Shore Pine,49.3334,-123.2680,1,2020-09-16,8,6,0.114156,17821,3.5,NA,Control,Day,,1.090667369,1.12984132,0.03917395069,0.9927682225,0.8150082345,-0.177759988,3,4,1
Shore Pine,49.3333,-123.2684,1,2020-09-17,9,5,0.2342912,2860,3.4,NA,Control,Day,,0.5152863416,0.3234751446,-0.191811197,0.3201654053,0.2333379935,-0.08682741182,5,4,-1
Shore Pine,49.3335,-123.2681,1,2020-09-17,10,4,0.379544,18308,3.6,NA,Control,Day,,1.000609516,1.183737817,0.1831283009,0.6217136482,0.6606566547,0.0389430065,5,6,1
Shore Pine,49.3334,-123.2682,1,2020-09-17,11,2,1.176528,21443,3.6,NA,Control,Day,,1.149649196,1.217275951,0.06762675467,0.7143172081,0.6793746437,-0.03494256447,5,6,1
Shore Pine,49.3334,-123.2680,1,2020-09-16,12,6,0.0989298,21498,3.6,NA,Removed,Day,,1.056533599,0.9981411246,-0.05839247431,0.6564612345,0.5570731684,-0.0993880661,5,6,1
Shore Pine,49.3335,-123.2682,1,2020-09-16,13,7,0.09892352,23947,3.6,NA,Control,Day,,1.041277618,1.066397853,0.02512023461,0.7511230279,0.9706771567,0.2195541288,4,3,-1
Shore Pine,49.3335,-123.2681,1,2020-09-16,14,5,0.21402108,19434,3.5,NA,Elevated,Day,,0.4799666384,0.4078996135,-0.07206702489,0.3462227445,0.2942373748,-0.05198536971,4,4,0
Shore Pine,49.3335,-123.2681,1,2020-09-16,15,3,0.7928856,23124,3.5,NA,Control,Day,,0.8623680439,0.817786859,-0.04458118491,0.5358193921,0.4564155363,-0.07940385587,5,6,1
Shore Pine,49.3335,-123.2680,1,2020-09-16,16,4,0.4657716,20088,3.5,NA,Removed,Day,,0.8989818513,0.831371157,-0.06761069427,0.5585688297,0.5165599434,-0.0420088863,5,5,0
Shore Pine,49.3334,-123.2681,1,2020-09-17,17,2,1.4409408,20103,3.5,NA,Removed,Day,,0.9101680974,0.9906174035,0.08044930619,0.4677338765,0.5090766416,0.0413427651,7,7,0
Shore Pine,49.3335,-123.2681,1,2020-09-18,18,3,0.51652,23947,3.1,NA,Elevated,Day,,0.9430601219,0.7595942074,-0.1834659145,0.4846370334,0.423937599,-0.06069943437,7,6,-1
Shore Pine,49.3334,-123.2680,1,2020-09-16,19,8,0.02128896,20807,3.2,NA,Control,Day,,0.7464130781,0.6563314553,-0.09008162277,0.5384232231,0.4078016618,-0.1306215613,4,5,1
Shore Pine,49.3333,-123.2680,1,2020-09-16,20,4,0.3467772,18890,3.2,NA,Elevated,Day,,0.1793157013,0.2666036092,0.08728790788,0.1293489365,0.1487943074,0.01944537085,4,6,2
Shore Pine,49.3334,-123.2681,1,2020-09-16,21,8,0.04256,25038,3.3,NA,Removed,Day,,0.5764494392,0.9694485448,0.3929991056,0.4158203736,0.4981980002,0.08237762655,4,7,3
Shore Pine,49.3334,-123.2681,1,2020-09-17,22,2,0.8190144,19400,3.1,NA,Elevated,Day,,1.020510001,1.066861361,0.04635136,0.5695574763,0.5954266626,0.02586918633,6,6,0
Shore Pine,49.3334,-123.2681,1,2020-09-16,23,6,0.1492224,23910,3.1,NA,Elevated,Day,,0.2727899627,0.23669506,-0.03609490265,0.1967763632,0.1707393946,-0.02603696852,4,4,0
Shore Pine,49.3336,-123.2681,1,2020-09-16,24,7,0.1001052,11622,3.3,NA,Elevated,Day,,0.5876804507,0.5976215749,0.009941124185,0.423921836,0.3335389516,-0.09038288433,4,6,2
West Beach,49.3311,-123.2660,1,2020-09-18,25,10,0.15343944,6369,3.4,NA,Elevated,Day,,0.4031305124,0.4556451442,0.05251463184,0.2249914229,0.2831082459,0.05811682302,6,5,-1
West Beach,49.3311,-123.2661,1,2020-09-18,26,10,0.2660736,6408,3.7,NA,Control,Day,,1.019078598,0.9199514514,-0.09912714701,0.6331891343,0.5715979749,-0.0615911594,5,5,0
West Beach,49.3310,-123.2660,1,2020-09-18,27,9,1.013376,13979,3.7,NA,Removed,Day,,1.165825013,1.096744592,-0.06908042175,0.6506593286,0.5636152276,-0.08704410102,6,7,1
West Beach,49.3307,-123.2661,1,2020-09-18,28,9,0.351072,5957,3.8,NA,Control,Day,,0.5653868648,0.4828336774,-0.08255318742,0.407840413,0.348290876,-0.05954953705,4,4,0
West Beach,49.3310,-123.2662,1,2020-09-18,29,9,1.3318672,11760,3.6,NA,Elevated,Day,,0.7215784929,0.7418733706,0.02029487773,0.4027206248,0.4140474117,0.01132678693,6,6,0
West Beach,49.3310,-123.2660,1,2020-09-18,30,10,0.33088,11226,4.0,NA,Removed,Day,,0.8001812896,1.005256393,0.2050751036,0.5772087891,0.5610442754,-0.01616451368,4,6,2
Shore Pine,49.3334,-123.2680,2,2020-09-28,1,1,2.7296976,14919,3.2,20,Control,Day,,0.9231818935,1.120002332,0.1968204382,0.5736051614,0.6958965755,0.1222914141,5,5,0
Shore Pine,49.3334,-123.2681,2,2020-09-28,2,5,0.15624,18349,3.2,21,Removed,Day,,0.9079829704,0.8306142336,-0.07736873679,0.5641615395,0.5160896405,-0.04807189901,5,5,0
Shore Pine,49.3334,-123.2680,2,2020-10-01,3,1,1.6832928,17865,3.3,21,Elevated,Day,,0.9407822057,0.884806343,-0.05597586264,0.5250605463,0.4938198225,-0.03124072377,6,6,0
Shore Pine,49.3334,-123.2680,2,2020-09-30,4,3,0.5103072,13986,3.6,24,Removed,Day,,1.068025869,0.9985635401,-0.06946232901,0.7704178125,0.6204424118,-0.1499754006,4,5,1
Shore Pine,49.3334,-123.2681,2,2020-09-28,5,8,0.04733344,20730,3.6,24,Elevated,Day,,0.9235929018,0.775125424,-0.1484674778,0.8406904886,0.4816125046,-0.359077984,3,5,2
Shore Pine,49.3335,-123.2682,2,2020-10-01,6,1,2.97024,27153,3.6,24,Removed,Day,,0.8059485626,0.9062400382,0.1002914755,0.5813689973,0.4657152534,-0.1156537439,4,7,3
Shore Pine,49.3334,-123.2684,2,2020-09-28,7,7,0.05155232,16909,3.5,24,Removed,Day,,1.022719071,1.203781881,0.1810628099,0.930919016,0.7479517361,-0.18296728,3,5,2
Shore Pine,49.3334,-123.2680,2,2020-09-28,8,6,0.114156,17821,3.5,24,Control,Day,,1.090667369,1.184888016,0.09422064698,0.9927682225,0.7362123179,-0.2565559046,3,5,2
Shore Pine,49.3333,-123.2684,2,2020-09-30,9,5,0.2342912,2860,3.4,22,Control,Day,,0.5152863416,0.4023932333,-0.1128931082,0.3201654053,0.2500209733,-0.07014443203,5,5,0
Shore Pine,49.3335,-123.2681,2,2020-09-28,10,4,0.379544,18308,3.6,25,Control,Day,,1.000609516,1.107578997,0.1069694811,0.6217136482,0.5691830106,-0.05253063751,5,7,2
Shore Pine,49.3334,-123.2682,2,2020-09-28,11,2,1.176528,21443,3.6,23,Control,Day,,1.149649196,1.043484233,-0.1061649628,0.7143172081,0.5823796393,-0.1319375688,5,6,1
Shore Pine,49.3334,-123.2680,2,2020-09-28,12,6,0.0989298,21498,3.6,24,Removed,Day,,1.056533599,1.194972061,0.1384384617,0.6564612345,0.7424778871,0.08601665256,5,5,0
Shore Pine,49.3335,-123.2682,2,2020-09-28,13,7,0.09892352,23947,3.6,24,Control,Day,,1.041277618,1.097854534,0.05657691608,0.7511230279,0.9993102621,0.2481872342,4,3,-1
Shore Pine,49.3335,-123.2681,2,2020-09-28,14,5,0.21402108,19434,3.5,24,Elevated,Day,,0.4799666384,0.2884124523,-0.1915541861,0.3462227445,0.2080456073,-0.1381771372,4,4,0
Shore Pine,49.3335,-123.2681,2,2020-09-28,15,3,0.7928856,23124,3.5,24,Control,Day,,0.8623680439,0.729190922,-0.133177122,0.5358193921,0.5260000635,-0.009819328648,5,4,-1
Shore Pine,49.3335,-123.2680,2,2020-09-28,16,4,0.4657716,20088,3.5,24,Removed,Day,,0.8989818513,0.8195571697,-0.07942468151,0.5585688297,0.5092195004,-0.04934932929,5,5,0
Shore Pine,49.3334,-123.2681,2,2020-09-30,17,2,1.4409408,20103,3.5,24,Removed,Day,,0.9101680974,0.9227382873,0.01257018994,0.4677338765,0.4199562925,-0.04777758401,7,9,2
Shore Pine,49.3335,-123.2681,2,2020-09-30,18,3,0.51652,23947,3.1,21,Elevated,Day,,0.9430601219,0.9438942006,0.0008340787104,0.4846370334,0.4850656651,0.0004286316667,7,7,0
Shore Pine,49.3334,-123.2680,2,2020-09-28,19,8,0.02128896,20807,3.2,21,Control,Day,,0.7464130781,0.470273376,-0.276139702,0.5384232231,0.3392305337,-0.1991926894,4,4,0
Shore Pine,49.3333,-123.2680,2,2020-09-28,20,4,0.3467772,18890,3.2,21,Elevated,Day,,0.1793157013,0.2847403137,0.1054246124,0.1293489365,0.1589165949,0.02956765839,4,6,2
Shore Pine,49.3334,-123.2681,2,2020-09-28,21,8,0.04256,25038,3.3,21,Removed,Day,,0.5764494392,0.6981037805,0.1216543413,0.4158203736,0.6354414453,0.2196210716,4,3,-1
Shore Pine,49.3334,-123.2681,2,2020-09-30,22,2,0.8190144,19400,3.1,20,Elevated,Day,,1.020510001,1.086066109,0.065556108,0.5695574763,0.5581275729,-0.0114299034,6,7,1
Shore Pine,49.3334,-123.2681,2,2020-09-28,23,6,0.1492224,23910,3.1,20,Elevated,Day,,0.2727899627,0.4756321745,0.2028422118,0.1967763632,0.295526886,0.09875052284,4,5,1
Shore Pine,49.3336,-123.2681,2,2020-09-28,24,7,0.1001052,11622,3.3,24,Elevated,Day,,0.5876804507,0.6380282535,0.05034780279,0.423921836,0.4602400987,0.0363182627,4,4,0
West Beach,49.3311,-123.2660,2,2020-09-30,25,2,0.15343944,6369,3.4,23,Elevated,Day,,0.4031305124,0.5557385905,0.1526080781,0.2249914229,0.3101636129,0.08517219006,6,6,0
West Beach,49.3311,-123.2661,2,2020-09-30,26,2,0.2660736,6408,3.7,27,Control,Day,,1.019078598,1.091243465,0.07216486618,0.6331891343,0.6090345738,-0.02415456051,5,6,1
West Beach,49.3310,-123.2660,2,2020-09-30,27,1,1.013376,13979,3.7,24,Removed,Day,,1.165825013,0.9997674454,-0.1660575679,0.6506593286,0.5579808353,-0.09267849329,6,6,0
West Beach,49.3307,-123.2661,2,2020-09-30,28,1,0.351072,5957,3.8,26,Control,Day,,0.5653868648,0.4600768315,-0.1053100333,0.407840413,0.4187799793,0.01093956631,4,3,-1
West Beach,49.3310,-123.2662,2,2020-09-30,29,1,1.3318672,11760,3.6,23,Elevated,Day,,0.7215784929,0.8219145984,0.1003361055,0.4027206248,0.4587192715,0.05599864673,6,6,0
West Beach,49.3310,-123.2660,2,2020-09-30,30,2,0.33088,11226,4.0,24,Removed,Day,,0.8001812896,0.990327537,0.1901462475,0.5772087891,0.5089276797,-0.06828110944,4,7,3
Shore Pine,49.3334,-123.2680,3,2020-10-23,1,1,2.7296976,14919,3.2,25,Control,Night,,0.9231818935,1.326049655,0.4028677615,0.5736051614,0.7400824038,0.1664772424,5,6,1
Shore Pine,49.3334,-123.2681,3,2020-10-24,2,5,0.15624,18349,3.2,26,Removed,Night,,0.9079829704,1.120559341,0.2125763703,0.5641615395,0.6962426646,0.1320811251,5,5,0
Shore Pine,49.3334,-123.2680,3,2020-10-25,3,1,1.6832928,17865,3.3,25,Elevated,Night,,0.9407822057,0.9155225945,-0.02525961121,0.5250605463,0.5109628888,-0.01409765744,6,6,0
Shore Pine,49.3334,-123.2680,3,2020-10-25,4,3,0.5103072,13986,3.6,25,Removed,Night,,1.068025869,0.9888778525,-0.07914801666,0.7704178125,0.6144243557,-0.1559934567,4,5,1
Shore Pine,49.3334,-123.2681,3,2020-10-24,5,8,0.04733344,20730,3.6,27,Elevated,Night,,0.9235929018,1.216149163,0.2925562616,0.8406904886,0.8772661835,0.03657569488,3,4,1
Shore Pine,49.3335,-123.2682,3,2020-10-25,6,1,2.97024,27153,3.6,25,Removed,Night,,0.8059485626,0.896590588,0.09064202532,0.5813689973,0.5003967348,-0.08097226246,4,6,2
Shore Pine,49.3334,-123.2684,3,2020-10-23,7,7,0.05155232,16909,3.5,27,Removed,Night,,1.022719071,1.329795124,0.3070760531,0.930919016,0.8262481663,-0.1046708498,3,5,2
Shore Pine,49.3334,-123.2680,3,2020-10-23,8,6,0.114156,17821,3.5,27,Control,Night,,1.090667369,1.363626935,0.2729595664,0.9927682225,0.8472690527,-0.1454991698,3,5,2
Shore Pine,49.3333,-123.2684,3,2020-10-25,9,5,0.2342912,2860,3.4,27,Control,Night,,0.5152863416,0.2395209276,-0.275765414,0.3201654053,0.1727778272,-0.1473875781,5,4,-1
Shore Pine,49.3335,-123.2681,3,2020-10-23,10,4,0.379544,18308,3.6,26,Control,Night,,1.000609516,1.418763533,0.418154017,0.6217136482,0.7918270043,0.1701133562,5,6,1
Shore Pine,49.3334,-123.2682,3,2020-10-24,11,2,1.176528,21443,3.6,26,Control,Night,,1.149649196,1.105609398,-0.04403979796,0.7143172081,0.5681708371,-0.146146371,5,7,2
Shore Pine,49.3334,-123.2680,3,2020-10-23,12,6,0.0989298,21498,3.6,26,Removed,Night,,1.056533599,1.043958082,-0.01257551707,0.6564612345,0.6486476264,-0.007813608077,5,5,0
Shore Pine,49.3335,-123.2682,3,2020-10-23,13,7,0.09892352,23947,3.6,26,Control,Night,,1.041277618,1.337407258,0.2961296403,0.7511230279,0.8309778513,0.07985482345,4,5,1
Shore Pine,49.3335,-123.2681,3,2020-10-24,14,5,0.21402108,19434,3.5,27,Elevated,Night,,0.4799666384,0.7398814217,0.2599147833,0.3462227445,0.4597141747,0.1134914302,4,5,1
Shore Pine,49.3335,-123.2681,3,2020-10-24,15,3,0.7928856,23124,3.5,24,Control,Night,,0.8623680439,0.7985107437,-0.06385730027,0.5358193921,0.4961426207,-0.03967677148,5,5,0
Shore Pine,49.3335,-123.2680,3,2020-10-24,16,4,0.4657716,20088,3.5,27,Removed,Night,,0.8989818513,0.9606297717,0.06164792041,0.5585688297,0.5361376837,-0.02243114597,5,6,1
Shore Pine,49.3334,-123.2681,3,2020-10-25,17,2,1.4409408,20103,3.5,26,Removed,Night,,0.9101680974,1.090590849,0.1804227514,0.4677338765,0.5244633364,0.05672945988,7,8,1
Shore Pine,49.3335,-123.2681,3,2020-10-24,18,3,0.51652,23947,3.1,26,Elevated,Night,,0.9430601219,0.684256762,-0.2588033599,0.4846370334,0.3516384158,-0.1329986177,7,7,0
Shore Pine,49.3334,-123.2680,3,2020-10-23,19,8,0.02128896,20807,3.2,26,Control,Night,,0.7464130781,0.6689908453,-0.07742223272,0.5384232231,0.3733708998,-0.1650523232,4,6,2
Shore Pine,49.3333,-123.2680,3,2020-10-24,20,4,0.3467772,18890,3.2,26,Elevated,Night,,0.1793157013,0.3028764962,0.1235607949,0.1293489365,0.1690385911,0.03968965457,4,6,2
